"","Ensembl_ID","gene_id"
"212","ENSG00000227169","Z98747.1"
"213","ENSG00000232596","LINC01646"
"214","ENSG00000196581","AJAP1"
"215","ENSG00000287586","Z98886.1"
"216","ENSG00000284739","BX005132.1"
"217","ENSG00000284674","LINC02781"
"218","ENSG00000231510","LINC02782"
"219","ENSG00000284616","AL139823.1"
"220","ENSG00000284692","Z98259.3"
"221","ENSG00000284666","Z98259.2"
"222","ENSG00000260972","Z98259.1"
"223","ENSG00000283356","Z97988.2"
"224","ENSG00000236948","AL365255.1"
"225","ENSG00000264341","MIR4417"
"226","ENSG00000216045","AL356693.1"
"227","ENSG00000264101","MIR4689"
"228","ENSG00000131697","NPHP4"
"229","ENSG00000266687","AL356261.1"
"230","ENSG00000069424","KCNAB2"
"231","ENSG00000116254","CHD5"
"232","ENSG00000285629","AL031847.2"
"233","ENSG00000116251","RPL22"
"234","ENSG00000226944","AL031847.1"
"235","ENSG00000158286","RNF207"
"236","ENSG00000116237","ICMT"
"237","ENSG00000225077","LINC00337"
"238","ENSG00000173673","HES3"
"239","ENSG00000158292","GPR153"
"240","ENSG00000097021","ACOT7"
"241","ENSG00000271746","AL031848.2"
"242","ENSG00000069812","HES2"
"243","ENSG00000187017","ESPN"
"244","ENSG00000265392","MIR4252"
"245","ENSG00000231868","AL031848.1"
"246","ENSG00000215788","TNFRSF25"
"247","ENSG00000171680","PLEKHG5"
"248","ENSG00000162408","NOL9"
"249","ENSG00000253022","RNU6-731P"
"250","ENSG00000229519","AL591866.1"
"251","ENSG00000173662","TAS1R1"
"252","ENSG00000204859","ZBTB48"
"253","ENSG00000162413","KLHL21"
"254","ENSG00000116273","PHF13"
"255","ENSG00000041988","THAP3"
"256","ENSG00000007923","DNAJC11"
"257","ENSG00000228750","LINC01672"
"258","ENSG00000239166","snoU13"
"259","ENSG00000284744","AL591163.1"
"260","ENSG00000237436","CAMTA1-DT"
"261","ENSG00000171735","CAMTA1"
"262","ENSG00000227950","AL590128.1"
"263","ENSG00000237365","AL512330.1"
"264","ENSG00000207056","RNU1-8P"
"265","ENSG00000237402","CAMTA1-IT1"
"266","ENSG00000237728","CAMTA1-AS2"
"267","ENSG00000225126","CAMTA1-AS1"
"268","ENSG00000270171","AL359881.3"
"269","ENSG00000270035","AL359881.2"
"270","ENSG00000269978","AL359881.1"
"271","ENSG00000049245","VAMP3"
"272","ENSG00000269925","Z98884.2"
"273","ENSG00000049246","PER3"
"274","ENSG00000236266","Z98884.1"
"275","ENSG00000049247","UTS2"
"276","ENSG00000049249","TNFRSF9"
"277","ENSG00000270330","AL009183.1"
"278","ENSG00000116288","PARK7"
"279","ENSG00000200344","Y_RNA"
"280","ENSG00000284747","AL034417.5"
"281","ENSG00000284716","AL034417.4"
"282","ENSG00000116285","ERRFI1"
"283","ENSG00000238290","AL034417.3"
"284","ENSG00000232848","AL034417.2"
"285","ENSG00000229305","AL358876.1"
"286","ENSG00000227634","LINC01714"
"287","ENSG00000200975","RNU1-7P"
"288","ENSG00000233645","AL358876.2"
"289","ENSG00000265414","RN7SL729P"
"290","ENSG00000251977","RNU6-991P"
"291","ENSG00000162426","SLC45A1"
"292","ENSG00000252254","Y_RNA"
"293","ENSG00000142599","RERE"
"294","ENSG00000232912","RERE-AS1"
"295","ENSG00000221083","SNORA77"
"296","ENSG00000270282","AL096855.2"
"297","ENSG00000234619","RPL7P11"
"298","ENSG00000224315","RPL7P7"
"299","ENSG00000222511","Y_RNA"
"300","ENSG00000226545","AL357552.2"
"301","ENSG00000228423","AL357552.3"
"302","ENSG00000229716","RPL23AP19"
"303","ENSG00000074800","ENO1"
"304","ENSG00000230679","ENO1-AS1"
"305","ENSG00000201725","RNU6-304P"
"306","ENSG00000238249","HMGN2P17"
"307","ENSG00000232208","AL139415.1"
"308","ENSG00000232663","AL139415.2"
"309","ENSG00000131686","CA6"
"310","ENSG00000265141","RN7SL451P"
"311","ENSG00000197241","SLC2A7"
"312","ENSG00000142583","SLC2A5"
"313","ENSG00000252404","SCARNA16"
"314","ENSG00000180758","GPR157"
"315","ENSG00000228526","MIR34AHG"
"316","ENSG00000207865","MIR34A"
"317","ENSG00000234546","LNCTAM34A"
"318","ENSG00000049239","H6PD"
"319","ENSG00000252841","Z98044.1"
"320","ENSG00000171621","SPSB1"
"321","ENSG00000284652","BX323043.1"
"322","ENSG00000284693","LINC02606"
"323","ENSG00000252956","RNA5SP40"
"324","ENSG00000235263","AL928921.1"
"325","ENSG00000171612","SLC25A33"
"326","ENSG00000231181","AL954705.1"
"327","ENSG00000188807","TMEM201"
"328","ENSG00000171608","PIK3CD"
"329","ENSG00000179840","PIK3CD-AS1"
"330","ENSG00000233268","AL691449.1"
"331","ENSG00000231789","PIK3CD-AS2"
"332","ENSG00000171603","CLSTN1"
"333","ENSG00000271264","MZT1P1"
"334","ENSG00000280113","AL357140.3"
"335","ENSG00000178585","CTNNBIP1"
"336","ENSG00000223989","AL357140.1"
"337","ENSG00000285701","AL357140.4"
"338","ENSG00000162441","LZIC"
"339","ENSG00000228150","AL357140.2"
"340","ENSG00000173614","NMNAT1"
"341","ENSG00000202415","RN7SKP269"
"342","ENSG00000283611","TMEM274P"
"343","ENSG00000265521","MIR5697"
"344","ENSG00000241326","AL603962.1"
"345","ENSG00000162444","RBP7"
"346","ENSG00000225786","AL590639.1"
"347","ENSG00000130939","UBE4B"
"348","ENSG00000224340","AL590639.1"
"349","ENSG00000233623","PGAM1P11"
"350","ENSG00000201746","RNU6-828P"
"351","ENSG00000054523","KIF1B"
"352","ENSG00000264881","MIR1273D"
"353","ENSG00000199562","RNU6-37P"
"354","ENSG00000264501","RN7SL731P"
"355","ENSG00000284735","AL139424.3"
"356","ENSG00000265945","RN7SL721P"
"357","ENSG00000284642","AL139424.2"
"358","ENSG00000142657","PGD"
"359","ENSG00000271989","AL139424.1"
"360","ENSG00000251503","CENPS-CORT"
"361","ENSG00000175279","CENPS"
"362","ENSG00000241563","CORT"
"363","ENSG00000160049","DFFA"
"364","ENSG00000203469","AL354956.1"
"365","ENSG00000142655","PEX14"
"366","ENSG00000287727","AL139423.2"
"367","ENSG00000243267","RN7SL614P"
"368","ENSG00000130940","CASZ1"
"369","ENSG00000272078","AL139423.1"
"370","ENSG00000225158","HSPE1P24"
"371","ENSG00000175262","C1orf127"
"372","ENSG00000215785","CFL1P6"
"373","ENSG00000264181","AL713997.1"
"374","ENSG00000207213","Y_RNA"
"375","ENSG00000120948","TARDBP"
"376","ENSG00000277726","AL109811.3"
"377","ENSG00000009724","MASP2"
"378","ENSG00000271895","AL109811.2"
"379","ENSG00000116649","SRM"
"380","ENSG00000171824","EXOSC10"
"381","ENSG00000226849","AL109811.1"
"382","ENSG00000230337","EXOSC10-AS1"
"383","ENSG00000198793","MTOR"
"384","ENSG00000225602","MTOR-AS1"
"385","ENSG00000253086","RNU6-537P"
"386","ENSG00000271794","snoU13"
"387","ENSG00000171819","ANGPTL7"
"388","ENSG00000207451","RNU6-291P"
"389","ENSG00000238173","RPL39P6"
"390","ENSG00000120942","UBIAD1"
"391","ENSG00000238199","UBE2V2P3"
"392","ENSG00000284646","AL031291.1"
"393","ENSG00000224338","MTCYBP45"
"394","ENSG00000204624","DISP3"
"395","ENSG00000285833","AL590989.1"
"396","ENSG00000235643","LINC01647"
"397","ENSG00000284708","AL031731.1"
"398","ENSG00000116661","FBXO2"
"399","ENSG00000132879","FBXO44"
"400","ENSG00000116663","FBXO6"
"401","ENSG00000116670","MAD2L2"
"402","ENSG00000162490","DRAXIN"
"403","ENSG00000177674","AGTRAP"
"404","ENSG00000215910","C1orf167"
"405","ENSG00000177553","C1orf167-AS1"
"406","ENSG00000177000","MTHFR"
"407","ENSG00000011021","CLCN6"
"408","ENSG00000175206","NPPA"
"409","ENSG00000120937","NPPB"
"410","ENSG00000224904","AL021155.1"
"411","ENSG00000285646","AL021155.5"
"412","ENSG00000199347","RNU5E-1"
"413","ENSG00000201801","RNU5E-4P"
"414","ENSG00000116685","KIAA2013"
"415","ENSG00000083444","PLOD1"
"416","ENSG00000287384","AL096840.3"
"417","ENSG00000116688","MFN2"
"418","ENSG00000270914","AL096840.2"
"419","ENSG00000116691","MIIP"
"420","ENSG00000202461","Y_RNA"
"421","ENSG00000243539","RN7SL649P"
"422","ENSG00000120949","TNFRSF8"
"423","ENSG00000201135","RNU6-777P"
"424","ENSG00000227875","RPL23AP89"
"425","ENSG00000285604","AL357835.1"
"426","ENSG00000028137","TNFRSF1B"
"427","ENSG00000263676","MIR4632"
"428","ENSG00000225196","RPL10P17"
"429","ENSG00000252969","SNORA70"
"430","ENSG00000048707","VPS13D"
"431","ENSG00000239149","SNORA59A"
"432","ENSG00000229484","LINC02766"
"433","ENSG00000162496","DHRS3"
"434","ENSG00000221340","RNU6ATAC18P"
"435","ENSG00000272482","AC254633.1"
"436","ENSG00000204518","AADACL4"
"437","ENSG00000226166","AC244670.1"
"438","ENSG00000188984","AADACL3"
"439","ENSG00000238771","snoU13"
"440","ENSG00000157330","C1orf158"
"441","ENSG00000116726","PRAMEF12"
"442","ENSG00000116721","PRAMEF1"
"443","ENSG00000228338","LINC01784"
"444","ENSG00000204513","PRAMEF11"
"445","ENSG00000231103","PRAMEF30P"
"446","ENSG00000179172","HNRNPCL1"
"447","ENSG00000120952","PRAMEF2"
"448","ENSG00000243073","PRAMEF4"
"449","ENSG00000187545","PRAMEF10"
"450","ENSG00000204510","PRAMEF7"
"451","ENSG00000207434","RNU6-1072P"
"452","ENSG00000234064","PRAMEF29P"
"453","ENSG00000232423","PRAMEF6"
"454","ENSG00000250894","RP11-450I1.4"
"455","ENSG00000204508","PRAMEF22"
"456","ENSG00000239810","WI2-3308P17.2"
"457","ENSG00000270601","PRAMEF23"
"458","ENSG00000250113","RP13-221M14.6"
"459","ENSG00000204505","PRAMEF25"
"460","ENSG00000233336","RP13-221M14.2"
"461","ENSG00000229978","RP13-221M14.3"
"462","ENSG00000277862","PRAMEF34P"
"463","ENSG00000236179","PRAMEF35P"
"464","ENSG00000275774","HNRNPCL2"
"465","ENSG00000179412","HNRNPCL4"
"466","ENSG00000229571","PRAMEF26"
"467","ENSG00000204503","PRAMEF3"
"468","ENSG00000233394","RP11-248D7.2"
"469","ENSG00000204502","PRAMEF5"
"470","ENSG00000231219","PRAMEF32P"
"471","ENSG00000207511","RNU6-771P"
"472","ENSG00000182330","PRAMEF8"
"473","ENSG00000237700","RP11-219C24.6"
"474","ENSG00000204501","PRAMEF9"
"475","ENSG00000228229","RP11-219C24.10"
"476","ENSG00000279169","PRAMEF13"
"477","ENSG00000274178","PRAMEF28P"
"478","ENSG00000204491","PRAMEF18"
"479","ENSG00000204488","PRAMEF16"
"480","ENSG00000204486","PRAMEF21"
"481","ENSG00000204485","XX-FW84067D5.1"
"482","ENSG00000224581","XX-FW84067D5.2"
"483","ENSG00000157358","PRAMEF15"
"484","ENSG00000204481","PRAMEF14"
"485","ENSG00000204480","PRAMEF19"
"486","ENSG00000204479","PRAMEF17"
"487","ENSG00000204478","PRAMEF20"
"488","ENSG00000162494","LRRC38"
"489","ENSG00000259961","AL354712.1"
"490","ENSG00000215909","BRWD1P1"
"491","ENSG00000162493","PDPN"
"492","ENSG00000222952","RNA5SP41"
"493","ENSG00000266358","AL359771.1"
"494","ENSG00000237445","AL359771.1"
"495","ENSG00000253085","SCARNA11"
"496","ENSG00000116731","PRDM2"
"497","ENSG00000189337","KAZN"
"498","ENSG00000252151","RNU6-1265P"
"499","ENSG00000231606","AL357873.1"
"500","ENSG00000234593","KAZN-AS1"
"501","ENSG00000235829","TBCAP2"
"502","ENSG00000287756","AL031293.1"
"503","ENSG00000175147","TMEM51-AS1"
"504","ENSG00000171729","TMEM51"
"505","ENSG00000204464","C1orf195"
"506","ENSG00000215720","AL035405.1"
"507","ENSG00000278480","AL391094.1"
"508","ENSG00000142621","FHAD1"
"509","ENSG00000233485","FHAD1-AS1"
"510","ENSG00000236045","AL031283.2"
"511","ENSG00000228140","AL031283.1"
"512","ENSG00000142634","EFHD2"
"513","ENSG00000162438","CTRC"
"514","ENSG00000142615","CELA2A"
"515","ENSG00000215704","CELA2B"
"516","ENSG00000132906","CASP9"
"517","ENSG00000116138","DNAJC16"
"518","ENSG00000251866","SCARNA21"
"519","ENSG00000272510","AL121992.3"
"520","ENSG00000116771","AGMAT"
"521","ENSG00000237301","AL121992.1"
"522","ENSG00000235084","CHCHD2P6"
"523","ENSG00000252417","RNU7-179P"
"524","ENSG00000236500","CD24P1"
"525","ENSG00000197312","DDI2"
"526","ENSG00000215695","RSC1A1"
"527","ENSG00000271742","AL121992.2"
"528","ENSG00000116786","PLEKHM2"
"529","ENSG00000264048","AL121992.1"
"530","ENSG00000237938","AL450998.3"
"531","ENSG00000162461","SLC25A34"
"532","ENSG00000224459","SLC25A34-AS1"
"533","ENSG00000162460","TMEM82"
"534","ENSG00000162458","FBLIM1"
"535","ENSG00000224321","RPL12P14"
"536","ENSG00000233954","UQCRHL"
"537","ENSG00000178715","AL450998.1"
"538","ENSG00000179743","AL450998.2"
"539","ENSG00000065526","SPEN"
"540","ENSG00000238818","snoU13"
"541","ENSG00000270620","AL034555.1"
"542","ENSG00000116809","ZBTB17"
"543","ENSG00000234607","AL355994.4"
"544","ENSG00000231353","AL355994.1"
"545","ENSG00000275503","AL355994.5"
"546","ENSG00000224966","TBC1D3P6"
"547","ENSG00000183888","SRARP"
"548","ENSG00000233078","AL355994.3"
"549","ENSG00000173641","HSPB7"
"550","ENSG00000186510","CLCNKA"
"551","ENSG00000232456","AL355994.2"
"552","ENSG00000184908","CLCNKB"
"553","ENSG00000185519","FAM131C"
"554","ENSG00000142627","EPHA2"
"555","ENSG00000227959","AL451042.2"
"556","ENSG00000224621","AL451042.1"
"557","ENSG00000234166","ARHGEF19-AS1"
"558","ENSG00000142632","ARHGEF19"
"559","ENSG00000237276","ANO7L1"
"560","ENSG00000288398","AL109627.1"
"561","ENSG00000204377","C1orf134"
"562","ENSG00000132881","CPLANE2"
"563","ENSG00000233929","MT1XP1"
"564","ENSG00000037637","FBXO42"
"565","ENSG00000055070","SZRD1"
"566","ENSG00000226457","RPL22P3"
"567","ENSG00000187144","SPATA21"
"568","ENSG00000157191","NECAP2"
"569","ENSG00000226029","LINC01772"
"570","ENSG00000080947","CROCCP3"
"571","ENSG00000206652","RNU1-1"
"572","ENSG00000261135","AL137802.2"
"573","ENSG00000285853","AL137802.3"
"574","ENSG00000224174","AL137802.1"
"575","ENSG00000233421","LINC01783"
"576","ENSG00000268674","AL355149.2"
