"","filesName","TCGA_Barcode"
"61f2d13b-a11b-48e2-ab4b-84ca27d54eb2.htseq.counts.gz","61f2d13b-a11b-48e2-ab4b-84ca27d54eb2.htseq.counts.gz","TCGA-L4-A4E6-01A-11R-A24H-07"
"ecc62f3c-7ddb-425d-9c68-e3ce3f5872f0.htseq.counts.gz","ecc62f3c-7ddb-425d-9c68-e3ce3f5872f0.htseq.counts.gz","TCGA-55-7574-01A-11R-2039-07"
"4cdd597f-ca43-4545-b84e-e5854c8a63c2.htseq.counts.gz","4cdd597f-ca43-4545-b84e-e5854c8a63c2.htseq.counts.gz","TCGA-50-5931-01A-11R-1755-07"
"64cf9ae1-d259-4d24-a448-37c00b7f9ded.htseq.counts.gz","64cf9ae1-d259-4d24-a448-37c00b7f9ded.htseq.counts.gz","TCGA-55-A491-01A-11R-A24H-07"
"e4de8f87-b9c8-4021-b29a-b7d128ff64a3.htseq.counts.gz","e4de8f87-b9c8-4021-b29a-b7d128ff64a3.htseq.counts.gz","TCGA-55-7816-01A-11R-2170-07"
"38ef59ed-8eb9-4957-a210-4d118df089ce.htseq.counts.gz","38ef59ed-8eb9-4957-a210-4d118df089ce.htseq.counts.gz","TCGA-62-A46Y-01A-11R-A24H-07"
"5abe9a73-0ec5-4d88-9aaf-1db6795f364d.htseq.counts.gz","5abe9a73-0ec5-4d88-9aaf-1db6795f364d.htseq.counts.gz","TCGA-86-8671-01A-11R-2403-07"
"5dbb0cb6-18b4-411e-bfd2-e0f6549dc78f.htseq.counts.gz","5dbb0cb6-18b4-411e-bfd2-e0f6549dc78f.htseq.counts.gz","TCGA-MP-A4TD-01A-32R-A262-07"
"f4eb983f-0eee-4c8a-9f72-b5382957d377.htseq.counts.gz","f4eb983f-0eee-4c8a-9f72-b5382957d377.htseq.counts.gz","TCGA-55-6970-01A-11R-1949-07"
"5eb38f95-cf76-4066-9a4f-df7c30728ff2.htseq.counts.gz","5eb38f95-cf76-4066-9a4f-df7c30728ff2.htseq.counts.gz","TCGA-86-A456-01A-11R-A24H-07"
"18860abf-6fac-490b-8bf2-b906ac1422a4.htseq.counts.gz","18860abf-6fac-490b-8bf2-b906ac1422a4.htseq.counts.gz","TCGA-49-AAQV-01A-11R-A39D-07"
"b600c271-e77b-4752-af07-08dd817ea601.htseq.counts.gz","b600c271-e77b-4752-af07-08dd817ea601.htseq.counts.gz","TCGA-49-6761-01A-31R-1949-07"
"022cbd07-3e20-4144-b2ab-8c76adffae73.htseq.counts.gz","022cbd07-3e20-4144-b2ab-8c76adffae73.htseq.counts.gz","TCGA-49-6745-01A-11R-1858-07"
"b29fd61e-8be4-4fe2-bd4d-fe54b1e1f8e0.htseq.counts.gz","b29fd61e-8be4-4fe2-bd4d-fe54b1e1f8e0.htseq.counts.gz","TCGA-95-8039-01A-11R-2241-07"
"b468a0f7-2b37-4988-a179-34870f3ff1fb.htseq.counts.gz","b468a0f7-2b37-4988-a179-34870f3ff1fb.htseq.counts.gz","TCGA-75-5146-01A-01R-1628-07"
"d81394e3-a55e-4b85-b13d-e3fa1806c800.htseq.counts.gz","d81394e3-a55e-4b85-b13d-e3fa1806c800.htseq.counts.gz","TCGA-44-2666-01A-01R-A278-07"
"2cea6dae-c807-428b-90c8-617b260d3975.htseq.counts.gz","2cea6dae-c807-428b-90c8-617b260d3975.htseq.counts.gz","TCGA-49-AAR2-01A-11R-A39D-07"
"780ab54f-9100-447b-ba9e-75480e7be3d9.htseq.counts.gz","780ab54f-9100-447b-ba9e-75480e7be3d9.htseq.counts.gz","TCGA-05-4382-01A-01R-1206-07"
"acec1346-4e7b-4e74-bc33-980e56dfafee.htseq.counts.gz","acec1346-4e7b-4e74-bc33-980e56dfafee.htseq.counts.gz","TCGA-05-4425-01A-01R-1755-07"
